bus0,carrier,p_nom_opt
GB0 14,H2 turbine,2.7560258633999214e-08
GB0 14,photocatalysis,4.684746840682083e-09
GB0 2,H2 Electrolysis,0.04302509732941184
GB0 2,H2 Fuel Cell,4.893562436113896e-09
GB0 2,H2 turbine,2.068908458216952e-08
GB0 2,photocatalysis,4.10397688691894e-09
GB0 3,H2 Electrolysis,0.05174210155600709
GB0 3,H2 Fuel Cell,5.2860026798063435e-09
GB0 3,H2 turbine,2.4741081806608597e-08
GB0 3,photocatalysis,4.49051026972797e-09
GB0 4,H2 Electrolysis,0.10600728692065758
GB0 4,H2 Fuel Cell,5.484567574796641e-09
GB0 4,H2 turbine,2.7946189747075418e-08
GB0 4,photocatalysis,4.801584647132231e-09
GB0 5,H2 Electrolysis,0.06532753178899482
GB0 5,H2 Fuel Cell,5.41236133645176e-09
GB0 5,H2 turbine,2.7314058112426575e-08
GB0 5,photocatalysis,4.538466675005524e-09
GB0 6,H2 Electrolysis,0.12467259865054171
GB0 6,H2 Fuel Cell,4.8278616193196775e-09
GB0 6,H2 turbine,2.0589102986738372e-08
GB0 6,photocatalysis,5.212207652268961e-09
GB0 7,H2 Electrolysis,0.07234193806915545
GB0 7,H2 Fuel Cell,5.204165747527363e-09
GB0 7,H2 turbine,2.4355499336675826e-08
GB0 7,photocatalysis,5.050501850345127e-09
GB0 8,H2 Electrolysis,0.12033969826994145
GB0 8,H2 Fuel Cell,4.7375520371877146e-09
GB0 8,H2 turbine,1.9432424247306103e-08
GB0 8,photocatalysis,4.0223341276833745e-09
GB0 9,H2 Electrolysis,0.06243418854538635
GB0 9,H2 Fuel Cell,5.3505413106987735e-09
GB0 9,H2 turbine,2.720537398796008e-08
GB0 9,photocatalysis,4.6073179485544795e-09
GB5 0,H2 Electrolysis,0.04963051761904982
GB5 0,H2 Fuel Cell,4.733910967419185e-09
GB5 0,H2 turbine,1.9156110096241314e-08
GB5 0,photocatalysis,4.2870911280686096e-09
GR1 0,H2 Electrolysis,0.025589741184350104
GR1 0,H2 Fuel Cell,4.837051666891593e-09
GR1 0,H2 turbine,1.9968034148047715e-08
GR1 0,photocatalysis,0.018363631944309008
GR1 1,H2 Electrolysis,0.025248288639181663
GR1 1,H2 Fuel Cell,4.8671003554775085e-09
GR1 1,H2 turbine,1.9141008973102726e-08
GR1 1,photocatalysis,2.2495212795584618e-08
HR1 0,H2 Electrolysis,4.70859242946693e-08
HR1 0,H2 Fuel Cell,5.398956353560543e-09
HR1 0,H2 turbine,1.950223140331344e-08
HR1 0,photocatalysis,7.192868297058694e-09
HU1 0,H2 Electrolysis,3.8042094175184685e-08
HU1 0,H2 Fuel Cell,5.696451113692584e-09
HU1 0,H2 turbine,2.1310411586231667e-08
HU1 0,photocatalysis,4.218692438735955e-09
IE5 0,H2 Electrolysis,0.12302778261053242
IE5 0,H2 Fuel Cell,4.812287758850004e-09
IE5 0,H2 turbine,2.1178843466158746e-08
IE5 0,photocatalysis,4.605426304621896e-09
IT1 0,H2 Electrolysis,0.0075443049300290945
IT1 0,H2 Fuel Cell,4.943385027208037e-09
IT1 0,H2 turbine,1.9152931146909266e-08
IT1 0,photocatalysis,4.940648872097076e-08
IT1 1,H2 Electrolysis,2.766993870069731e-08
IT1 1,H2 Fuel Cell,5.434567104983003e-09
IT1 1,H2 turbine,1.9215269322003853e-08
IT1 1,photocatalysis,8.040589361464579e-09
IT1 10,H2 Electrolysis,1.1237530715024366e-05
IT1 10,H2 Fuel Cell,5.507159505739843e-09
IT1 10,H2 turbine,1.9250891051153282e-08
